grid,velocity,spread_rate,lambda,T,D,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_AR,X_N2
0,2.23961119,-1.67435068e-19,-44.8292039,373,0.0535807288,0.166666667,-3.26329633e-19,1.8371402e-17,0.104166667,-1.29036354e-17,-1.02128917e-18,4.13693219e-19,1.88007227e-17,0.729166667,-7.37019161e-71
0.00375,2.23435777,1.40091262,-44.8292039,373,0.0535807288,0.166666667,-1.44911045e-18,1.78114022e-17,0.104166667,-1.61590251e-18,-1.19769647e-17,4.08730042e-18,1.88009272e-17,0.729166667,-7.37019263e-71
0.0075,2.21859751,2.80182524,-44.8292039,373,0.0535807288,0.166666667,6.29256339e-18,1.75207733e-17,0.104166667,-1.40864474e-19,-1.25935854e-17,1.28244119e-16,1.88037232e-17,0.729166667,-7.37020532e-71
0.01125,2.19233039,4.20273787,-44.8292039,373,0.0535807288,0.166666667,8.38064626e-17,1.95470254e-17,0.104166667,6.05805703e-20,-8.64032013e-18,1.47971409e-15,1.88161352e-17,0.729166667,-7.37037059e-71
0.015,2.15555644,5.60365049,-44.8292039,373,0.0535807288,0.166666666,1.02147416e-15,4.22298642e-17,0.104166667,1.90144601e-19,3.2042576e-17,1.52054559e-14,1.89594767e-17,0.729166667,-7.37245297e-71
0.01875,2.10827563,7.00456311,-44.8292039,373,0.0535807289,0.166666664,1.2418716e-14,2.4709678e-16,0.104166667,1.14577014e-18,4.77750996e-16,1.43032942e-13,2.08471478e-17,0.729166669,-7.39723261e-71
0.020625,2.08069516,7.70501942,-44.8292039,373,0.0535807291,0.166666661,6.56286806e-14,9.40556278e-16,0.104166667,4.39421249e-18,2.35450491e-15,5.36810141e-13,3.03003297e-17,0.729166671,-7.50211976e-71
0.0225,2.05048796,8.40547573,-44.8292039,373,0.0535807296,0.166666653,3.08049696e-13,4.22067568e-15,0.104166669,1.98336669e-17,1.34965017e-14,2.39441841e-12,9.56498422e-17,0.729166679,-8.09519748e-71
0.024375,2.01765402,9.10593204,-44.8292039,373,0.0535807309,0.166666631,1.42816748e-12,1.95475273e-14,0.104166672,9.34202166e-17,7.89622074e-14,1.101949e-11,5.41465611e-16,0.729166697,-1.12120791e-70
0.02625,1.9821933,9.80638834,-44.8292039,373.000001,0.053580734,0.166666576,6.5968518e-12,9.02720076e-14,0.104166679,4.5777262e-16,4.58919581e-13,5.02973213e-11,3.53915045e-15,0.729166745,-2.59454614e-70
0.028125,1.94410571,10.5068446,-44.8292039,373.000006,0.0535807418,0.166666435,3.03766464e-11,4.12234332e-13,0.104166699,2.51689811e-15,2.63355591e-12,2.2405349e-10,2.33707895e-14,0.729166866,-8.40101075e-70
0.03,1.90339101,11.2073009,-44.8292039,373.000024,0.0535807604,0.166666084,1.39417097e-10,1.85647679e-12,0.104166747,1.77778067e-14,1.48834202e-11,9.58795103e-10,1.52059915e-13,0.729167168,-2.27019361e-69
0.031875,1.86004878,11.907757,-44.8292039,373.000091,0.0535808032,0.166665212,6.37614947e-10,8.23164331e-12,0.104166865,1.66670294e-13,8.26210621e-11,3.84103003e-09,9.66110945e-13,0.729167918,1.58258385e-69
0.0328125,1.837392,12.2579851,-44.8292039,373.000188,0.0535808437,0.166664306,1.55015785e-09,1.93956307e-11,0.104166987,7.74991488e-13,2.28400397e-10,7.8737723e-09,2.92707307e-12,0.729168697,3.57884575e-68
0.03375,1.81407786,12.6082131,-44.8292039,373.000414,0.0535809045,0.166662754,3.66483087e-09,4.88063821e-11,0.104167193,3.70693613e-12,6.91061402e-10,1.73636873e-08,9.83850428e-12,0.729170031,2.16162496e-67
0.0346875,1.79010627,12.9584412,-44.8292039,373.000928,0.0535809893,0.16666011,8.59080795e-09,1.25596294e-10,0.104167538,1.79741195e-11,2.1402648e-09,3.93343178e-08,3.37576682e-11,0.729172302,1.00286217e-66
0.035625,1.76547748,13.3086695,-44.8292039,373.00209,0.0535810911,0.166655633,2.00608083e-08,3.24158979e-10,0.104168107,8.60239875e-11,6.60620036e-09,8.91428806e-08,1.14441462e-10,0.729176144,4.11574915e-66
0.0365625,1.74019274,13.6588985,-44.8292039,373.004673,0.0535811718,0.166648092,4.67078833e-08,8.31786091e-10,0.104169036,3.9770043e-10,2.00832334e-08,1.98590417e-07,3.76843014e-10,0.729182604,1.57195012e-65
0.0375,1.71425578,14.0091292,-44.8292039,373.010318,0.0535811156,0.166635469,1.08409619e-07,2.11069891e-09,0.104170535,1.73786651e-09,5.96491608e-08,4.27447071e-07,1.18622752e-09,0.729193396,5.73339892e-65
0.03796875,1.70104613,14.1842463,-44.8292039,373.015553,0.0535809275,0.166626014,1.69475561e-07,3.45442832e-09,0.104171624,3.87015093e-09,1.06606355e-07,6.207262e-07,2.15419458e-09,0.729201455,1.17123016e-64
